"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2021","457.56","450.75","457.68","450.65","108.08K","1.51%"
"12/10/2021","450.75","452.57","453.73","449.58","103.34K","-0.39%"
"12/09/2021","452.53","449.74","453.68","448.47","88.30K","0.62%"
"12/08/2021","449.74","446.42","451.72","446.17","121.19K","0.75%"
"12/07/2021","446.41","435.85","446.41","435.27","104.93K","2.42%"
"12/06/2021","435.85","449.27","450.18","432.99","138.53K","-2.99%"
"12/03/2021","449.27","458.24","460.13","449.27","153.85K","-1.96%"
"12/02/2021","458.23","455.81","460.12","448.17","124.03K","0.53%"
"12/01/2021","455.81","458.05","458.62","454.02","126.66K","-0.49%"
"11/30/2021","458.05","460.58","464.01","456.36","149.16K","-0.55%"
"11/29/2021","460.58","458.63","464.40","449.33","133.96K","0.43%"
"11/26/2021","458.63","459.68","463.76","455.06","133.68K","-0.23%"
"11/25/2021","459.67","455.59","459.99","455.19","106.57K","0.90%"
"11/24/2021","455.58","448.60","455.58","448.22","106.46K","1.56%"
"11/23/2021","448.60","444.68","448.60","437.53","116.67K","0.90%"
"11/22/2021","444.62","453.97","456.50","443.25","180.71K","-2.06%"
"11/19/2021","453.97","468.73","474.76","453.97","250.86K","-3.15%"
"11/18/2021","468.73","462.95","469.90","462.02","168.66K","1.25%"
"11/17/2021","462.95","452.27","462.98","451.53","140.12K","2.37%"
"11/16/2021","452.25","444.85","453.96","439.16","191.31K","1.79%"
"11/15/2021","444.28","441.64","449.62","441.64","204.55K","0.60%"
"11/12/2021","441.63","439.22","442.17","437.43","162.87K","0.66%"
"11/11/2021","438.73","438.24","440.76","432.98","181.85K","0.11%"
"11/10/2021","438.24","432.64","438.33","432.64","150.77K","1.29%"
"11/09/2021","432.64","432.10","434.91","430.16","143.01K","0.12%"
"11/08/2021","432.10","427.67","433.95","427.50","159.43K","1.04%"
"11/05/2021","427.64","422.39","428.52","422.36","145.12K","1.24%"
"11/04/2021","422.42","415.71","422.92","413.84","135.76K","1.61%"
"11/03/2021","415.71","424.12","430.31","415.70","216.14K","-1.98%"
"11/02/2021","424.11","415.55","424.83","415.55","178.22K","2.06%"
"11/01/2021","415.54","412.13","420.42","412.13","169.05K","0.83%"
"10/29/2021","412.12","411.08","413.93","409.20","146.38K","0.26%"
"10/28/2021","411.07","404.36","411.07","403.92","161.21K","1.66%"
"10/27/2021","404.37","397.85","404.82","397.85","136.46K","1.65%"
"10/26/2021","397.81","395.89","398.02","393.46","112.00K","0.49%"
"10/25/2021","395.88","391.30","397.46","390.55","145.26K","1.19%"
"10/22/2021","391.21","388.46","392.13","388.43","151.84K","0.71%"
"10/21/2021","388.45","388.29","391.28","386.33","117.43K","0.04%"
"10/20/2021","388.29","387.00","390.20","385.96","134.43K","0.33%"
"10/19/2021","387.00","384.88","388.00","383.81","106.98K","0.55%"
"10/18/2021","384.88","384.84","388.05","384.33","122.55K","0.01%"
"10/15/2021","384.84","384.99","387.50","383.29","114.74K","0.00%"
"10/14/2021","384.84","379.34","386.49","379.34","104.37K","1.45%"
"10/13/2021","379.34","375.68","379.95","375.68","90.73K","0.97%"
"10/12/2021","375.68","374.34","378.31","374.34","105.24K","0.36%"
"10/11/2021","374.34","371.92","375.20","371.66","93.80K","0.65%"
"10/08/2021","371.92","370.43","372.68","370.07","93.67K","0.41%"
"10/07/2021","370.40","368.38","371.74","368.28","102.28K","0.52%"
"10/06/2021","368.47","366.59","368.52","366.52","98.01K","0.54%"
"10/05/2021","366.50","360.80","366.53","359.96","144.94K","1.55%"
"10/04/2021","360.89","356.49","360.97","356.12","142.45K","1.23%"
"10/01/2021","356.49","357.36","359.42","355.16","114.26K","-0.24%"
"09/30/2021","357.33","354.26","359.05","354.25","90.73K","0.86%"
"09/29/2021","354.29","356.04","356.64","352.71","105.75K","-0.49%"
"09/28/2021","356.03","353.01","357.10","349.62","135.63K","0.86%"
"09/27/2021","353.01","359.56","361.51","352.73","145.72K","-1.84%"
"09/24/2021","359.63","360.95","362.70","358.59","135.35K","-0.39%"
"09/23/2021","361.02","363.46","365.75","359.69","198.81K","-0.66%"
"09/22/2021","363.43","358.99","363.43","358.58","181.16K","1.24%"
"09/21/2021","358.98","359.09","359.47","354.30","185.90K","0.03%"
"09/20/2021","358.87","358.02","362.19","357.14","184.30K","0.25%"
"09/17/2021","357.97","353.24","359.02","353.24","170.06K","1.34%"
"09/16/2021","353.24","350.82","355.60","350.82","157.91K","0.71%"
"09/15/2021","350.75","347.86","352.08","347.66","169.17K","0.83%"
"09/14/2021","347.86","349.07","353.44","347.35","165.06K","-0.34%"
"09/13/2021","349.05","350.04","354.39","348.70","167.60K","-0.29%"
"09/10/2021","350.05","350.44","352.36","349.38","120.75K","-0.11%"
"09/09/2021","350.44","347.24","350.99","347.07","107.11K","0.91%"
"09/08/2021","347.28","346.49","350.61","346.49","117.11K","0.23%"
"09/07/2021","346.48","345.65","350.81","345.65","169.03K","0.25%"
"09/06/2021","345.63","343.55","348.45","343.55","184.68K","0.64%"
"09/01/2021","343.42","342.84","345.68","341.87","133.94K","0.18%"
"08/31/2021","342.81","341.30","343.85","341.06","144.04K","0.44%"
"08/30/2021","341.30","338.79","342.68","338.58","134.95K","0.74%"
"08/27/2021","338.79","336.64","338.79","332.41","133.78K","0.58%"
"08/26/2021","336.85","336.01","340.75","335.02","118.69K","0.25%"
"08/25/2021","336.01","331.79","336.01","329.47","100.05K","1.27%"
"08/24/2021","331.79","334.82","339.15","329.91","161.13K","-0.91%"
"08/23/2021","334.84","338.07","339.62","334.84","166.82K","-0.95%"
"08/20/2021","338.06","346.08","347.31","332.46","258.87K","-2.31%"
"08/19/2021","346.07","344.82","347.15","343.38","152.37K","0.36%"
"08/18/2021","344.82","343.16","346.14","342.51","147.95K","0.50%"
"08/17/2021","343.11","343.53","345.38","341.24","167.11K","-0.12%"
"08/16/2021","343.53","336.96","343.76","336.76","180.37K","1.95%"
"08/13/2021","336.96","334.33","336.97","330.10","152.35K","0.79%"
"08/12/2021","334.33","334.55","337.50","332.86","149.65K","-0.03%"
"08/11/2021","334.44","335.33","338.13","334.44","147.63K","-0.19%"
"08/10/2021","335.08","330.68","335.32","330.62","161.45K","1.33%"
"08/09/2021","330.68","325.47","330.82","323.81","136.71K","1.60%"
