"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2019","346.76","349.40","349.82","345.85","242.35M","-0.71%"
"09/19/2019","349.25","355.00","355.28","349.05","337.46M","-1.42%"
"09/18/2019","354.28","354.46","355.03","352.55","376.77M","0.20%"
"09/17/2019","353.58","353.40","355.62","352.54","418.73M","0.09%"
"09/16/2019","353.27","354.55","355.31","352.81","258.47M","-0.32%"
"09/13/2019","354.40","353.83","354.71","353.32","227.94M","0.32%"
"09/12/2019","353.28","354.44","355.94","353.07","273.86M","-0.17%"
"09/11/2019","353.87","352.59","355.49","352.59","317.42M","0.20%"
"09/10/2019","353.18","353.62","354.67","352.72","369.73M","0.03%"
"09/09/2019","353.09","353.94","354.65","353.07","361.14M","-0.29%"
"09/06/2019","354.12","355.78","356.19","353.40","368.58M","-0.17%"
"09/05/2019","354.72","354.80","355.44","353.30","384.70M","0.45%"
"09/04/2019","353.14","353.06","354.75","352.03","396.41M","0.30%"
"09/03/2019","352.09","353.68","354.72","351.93","381.06M","-0.41%"
"09/02/2019","353.53","352.85","354.94","351.95","327.63M","0.23%"
"08/30/2019","352.72","352.56","353.82","351.76","3.27B","0.54%"
"08/29/2019","350.84","348.52","350.84","348.36","379.77M","1.06%"
"08/28/2019","347.17","346.36","349.55","346.36","483.54M","0.38%"
"08/27/2019","345.84","346.94","349.64","345.28","367.07M","0.04%"
"08/26/2019","345.69","346.42","346.97","344.53","391.11M","-1.54%"
"08/23/2019","351.11","349.10","352.36","348.93","436.65M","0.70%"
"08/22/2019","348.66","349.70","351.81","348.50","348.09M","-0.29%"
"08/21/2019","349.69","348.74","350.96","347.90","473.74M","0.49%"
"08/20/2019","347.98","351.78","352.89","347.85","341.13M","-0.83%"
"08/19/2019","350.88","351.42","353.19","350.61","307.29M","0.25%"
"08/16/2019","350.02","343.59","350.02","343.54","567.70M","2.11%"
"08/15/2019","342.80","342.34","344.19","338.66","458.66M","-0.81%"
"08/14/2019","345.59","351.37","353.76","344.50","550.37M","-1.04%"
"08/13/2019","349.21","356.83","357.35","349.21","387.24M","-2.35%"
"08/09/2019","357.63","365.08","365.48","357.14","404.28M","-1.54%"
"08/08/2019","363.24","364.29","365.61","362.33","484.21M","-0.29%"
"08/07/2019","364.28","363.83","366.93","363.76","421.96M","0.76%"
"08/06/2019","361.53","359.51","362.93","356.16","424.51M","0.07%"
"08/05/2019","361.29","363.35","366.01","360.79","384.29M","-0.53%"
"08/02/2019","363.21","361.37","364.42","360.23","625.57M","-0.47%"
"08/01/2019","364.94","368.90","369.83","364.03","552.39M","-1.14%"
"07/31/2019","369.16","366.90","371.13","366.82","736.15M","0.50%"
"07/30/2019","367.32","373.00","374.08","366.82","554.85M","-1.61%"
"07/26/2019","373.33","375.69","377.38","373.13","625.76M","-0.34%"
"07/25/2019","374.62","376.94","378.89","374.61","609.03M","-0.42%"
"07/24/2019","376.20","374.66","377.18","374.66","676.73M","0.49%"
"07/23/2019","374.38","377.34","378.51","373.70","862.92M","-0.43%"
"07/22/2019","376.00","375.67","378.15","374.69","629.11M","0.22%"
"07/19/2019","375.18","376.22","377.64","374.31","699.23M","0.36%"
"07/18/2019","373.83","370.70","374.27","370.57","889.82M","0.57%"
"07/17/2019","371.70","376.95","377.20","371.02","1.02B","-1.11%"
"07/15/2019","375.89","376.17","378.21","375.21","910.69M","0.37%"
"07/12/2019","374.51","376.10","378.00","372.04","695.59M","-0.17%"
"07/11/2019","375.16","373.94","375.51","373.82","797.07M","0.87%"
"07/10/2019","371.94","367.89","373.00","367.70","1.07B","1.43%"
"07/09/2019","366.69","368.94","370.52","365.84","1.13B","-0.35%"
"07/08/2019","367.99","367.46","368.76","365.19","900.36M","0.96%"
"07/05/2019","364.48","360.62","365.22","360.23","594.18M","1.13%"
"07/04/2019","360.40","365.92","367.88","359.00","629.09M","-1.16%"
"07/03/2019","364.64","362.37","365.22","362.14","622.28M","0.36%"
"07/02/2019","363.35","363.33","364.98","360.99","683.70M","0.10%"
"07/01/2019","362.99","362.92","365.39","360.96","822.37M","-0.16%"
"06/28/2019","363.58","365.53","368.00","363.58","378.41M","-0.26%"
"06/27/2019","364.52","363.68","367.42","363.54","685.11M","0.33%"
"06/26/2019","363.32","364.39","365.28","362.44","314.41M","0.11%"
"06/25/2019","362.91","360.76","364.64","360.18","426.98M","0.52%"
"06/24/2019","361.04","359.33","361.43","359.26","483.20M","0.48%"
"06/21/2019","359.30","359.98","361.95","359.30","515.80M","0.08%"
"06/20/2019","359.01","360.62","361.40","358.52","513.70M","-0.36%"
"06/19/2019","360.31","358.14","362.29","358.13","533.22M","0.88%"
"06/18/2019","357.18","356.70","358.11","354.76","522.37M","0.59%"
"06/17/2019","355.07","356.75","358.16","355.06","469.49M","-0.22%"
"06/14/2019","355.84","355.57","357.82","355.19","484.47M","0.38%"
"06/13/2019","354.51","353.76","356.41","353.14","532.08M","0.50%"
"06/12/2019","352.76","350.05","354.46","349.52","808.13M","0.91%"
"06/11/2019","349.57","351.46","351.50","348.97","909.98M","-0.32%"
"06/10/2019","350.70","347.55","351.47","347.51","1.51B","1.11%"
"06/07/2019","346.84","346.07","347.91","345.88","374.25M","0.45%"
"06/06/2019","345.29","344.09","345.50","343.22","216.26M","0.58%"
"06/05/2019","343.29","340.62","344.31","340.57","217.78M","0.53%"
"06/04/2019","341.49","339.25","342.50","339.09","245.74M","0.49%"
"05/31/2019","339.82","340.91","341.19","338.83","272.22M","-0.24%"
"05/30/2019","340.63","340.92","342.58","339.93","1.38B","0.02%"
"05/29/2019","340.55","340.88","342.07","340.39","404.34M","-0.08%"
"05/28/2019","340.83","341.16","345.64","340.31","185.07M","0.08%"
"05/27/2019","340.55","339.82","341.29","336.32","158.86M","0.35%"
"05/24/2019","339.36","338.41","341.10","337.91","155.57M","0.09%"
"05/23/2019","339.07","339.96","341.81","338.48","239.90M","-0.32%"
"05/22/2019","340.17","338.42","341.04","338.38","240.18M","0.68%"
"05/21/2019","337.87","338.34","339.24","336.47","465.56M","-0.43%"
"05/17/2019","339.33","341.92","343.10","339.33","230.13M","-0.46%"
"05/16/2019","340.91","344.96","345.37","339.34","318.80M","-1.45%"
"05/15/2019","345.94","351.82","352.41","345.44","262.27M","-1.65%"
"05/14/2019","351.75","353.58","353.67","350.49","310.45M","-0.91%"
"05/13/2019","354.98","357.98","358.83","354.91","297.74M","-0.69%"
"05/10/2019","357.43","360.14","362.25","356.84","374.98M","-0.53%"
"05/09/2019","359.32","359.00","361.29","358.92","1.97B","0.17%"
"05/08/2019","358.71","362.32","362.36","358.62","643.45M","-1.05%"
"05/07/2019","362.52","364.05","365.03","362.50","240.45M","-0.96%"
"05/03/2019","366.04","366.16","366.77","365.29","310.77M","0.02%"
"05/02/2019","365.96","366.35","368.59","365.96","324.89M","-0.05%"
"04/30/2019","366.15","366.92","368.14","365.37","354.65M","-0.39%"
"04/29/2019","367.58","366.41","369.53","366.24","248.14M","0.56%"
"04/26/2019","365.54","366.86","368.48","365.53","272.76M","-0.37%"
"04/25/2019","366.91","367.75","369.15","366.41","270.20M","-0.29%"
"04/24/2019","367.98","368.58","369.79","367.57","221.24M","-0.05%"
"04/23/2019","368.17","369.07","370.33","368.11","247.36M","-0.13%"
"04/22/2019","368.65","369.61","370.56","368.51","334.70M","0.05%"
"04/19/2019","368.48","368.84","369.97","368.48","317.35M","0.28%"
"04/18/2019","367.46","366.04","368.22","366.01","311.68M","0.36%"
"04/17/2019","366.13","364.36","366.89","364.12","279.30M","0.64%"
"04/12/2019","363.81","363.37","365.94","362.88","258.55M","0.10%"
"04/11/2019","363.43","363.59","364.74","363.15","455.79M","-0.13%"
"04/10/2019","363.90","365.23","365.49","363.51","360.03M","-0.37%"
"04/09/2019","365.25","366.97","367.30","364.65","327.36M","-0.23%"
"04/05/2019","366.10","366.12","368.46","365.92","307.80M","0.09%"
"04/04/2019","365.78","367.54","367.74","365.46","304.86M","-0.42%"
"04/03/2019","367.34","368.47","368.67","366.73","291.95M","-0.07%"
"04/02/2019","367.61","366.82","368.70","366.75","358.65M","0.51%"
"04/01/2019","365.75","364.94","366.95","364.86","257.16M","0.45%"
"03/29/2019","364.12","366.04","366.91","364.06","212.68M","-0.28%"
"03/28/2019","365.16","364.20","367.09","363.74","282.82M","0.33%"
"03/27/2019","363.95","364.13","365.69","363.65","264.06M","-0.15%"
"03/26/2019","364.51","363.30","364.77","362.63","219.98M","0.50%"
"03/25/2019","362.70","364.42","364.50","361.44","160.58M","-0.73%"
"03/22/2019","365.37","365.92","366.91","365.14","303.82M","0.01%"
"03/21/2019","365.34","364.97","366.82","364.90","238.39M","-0.19%"
"03/20/2019","366.03","365.11","366.53","364.74","270.21M","0.43%"
"03/19/2019","364.46","362.57","366.38","362.57","259.18M","0.57%"
"03/18/2019","362.40","365.42","365.89","362.33","260.49M","-0.86%"
"03/15/2019","365.55","368.45","369.07","365.55","364.45M","-0.59%"
"03/14/2019","367.73","367.83","368.72","367.45","407.47M","0.09%"
"03/13/2019","367.39","368.78","368.87","366.46","844.36M","-0.30%"
"03/12/2019","368.51","370.99","371.54","368.34","381.47M","-0.57%"
"03/11/2019","370.61","371.44","372.42","370.12","214.00M","-0.16%"
"03/08/2019","371.20","371.46","373.06","370.47","314.41M","-0.01%"
"03/07/2019","371.25","369.86","372.31","369.81","462.79M","0.03%"
"03/06/2019","371.13","373.28","374.19","371.09","781.97M","-0.38%"
"03/05/2019","372.55","375.20","375.34","372.55","594.32M","-0.75%"
"03/04/2019","375.37","376.98","377.45","375.11","420.61M","-0.30%"
"03/01/2019","376.51","379.51","380.26","376.15","589.20M","-0.81%"
"02/28/2019","379.59","384.32","385.62","379.30","850.55M","-1.67%"
"02/27/2019","386.02","384.78","386.40","384.33","467.37M","0.53%"
"02/26/2019","383.99","387.31","387.54","383.99","450.32M","-0.54%"
"02/25/2019","386.06","385.71","387.90","385.61","527.56M","0.47%"
"02/22/2019","384.27","384.02","385.67","383.75","606.23M","0.36%"
"02/21/2019","382.90","383.84","385.87","382.81","494.03M","-0.04%"
"02/20/2019","383.06","383.55","385.09","383.00","404.92M","0.07%"
"02/18/2019","382.78","384.53","386.37","382.78","737.08M","-0.11%"
"02/15/2019","383.22","387.02","388.53","383.22","502.17M","-0.88%"
"02/14/2019","386.64","387.18","389.05","386.64","580.64M","0.01%"
"02/13/2019","386.62","386.53","389.13","385.84","670.21M","0.56%"
"02/12/2019","384.48","383.63","387.08","383.56","550.08M","0.27%"
"02/11/2019","383.46","386.70","387.34","382.30","496.50M","-0.50%"
"02/08/2019","385.38","384.52","386.24","382.29","510.29M","-0.05%"
"02/07/2019","385.58","387.98","391.12","384.76","716.45M","-0.11%"
"02/06/2019","386.01","386.69","390.72","386.01","1.14B","0.01%"
"02/05/2019","385.99","386.74","388.53","385.47","979.86M","0.16%"
"02/04/2019","385.37","384.12","386.76","384.07","672.09M","0.90%"
"02/01/2019","381.93","381.95","385.90","381.53","706.18M","0.39%"
"01/31/2019","380.45","381.35","383.43","380.25","836.96M","1.27%"
"01/30/2019","375.67","372.63","376.57","372.56","859.81M","1.22%"
