"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2018","835.14","841.27","841.27","830.94","84.09K","-0.72%"
"10/26/2018","841.20","848.54","856.32","841.20","95.77K","-0.86%"
"10/25/2018","848.46","856.61","856.61","821.93","118.80K","-0.95%"
"10/24/2018","856.63","867.41","868.46","856.53","91.75K","-1.24%"
"10/23/2018","867.42","879.43","879.43","854.00","136.88K","-1.66%"
"10/22/2018","882.08","891.39","896.40","882.08","93.29K","-1.04%"
"10/19/2018","891.39","895.54","895.54","879.14","95.86K","-0.47%"
"10/18/2018","895.62","903.70","903.70","894.56","81.49K","-0.89%"
"10/17/2018","903.68","897.92","906.64","897.92","99.32K","0.71%"
"10/16/2018","897.27","887.38","897.27","885.61","81.12K","1.11%"
"10/15/2018","887.38","900.64","901.07","886.41","86.45K","-1.47%"
"10/12/2018","900.64","878.74","900.83","867.44","148.17K","2.47%"
"10/11/2018","878.94","923.25","923.25","872.05","264.48K","-4.87%"
"10/10/2018","923.97","926.11","928.76","920.22","124.11K","-0.23%"
"10/09/2018","926.11","929.01","932.47","925.65","130.60K","-0.32%"
"10/08/2018","929.04","936.74","936.74","927.51","131.77K","-0.96%"
"10/05/2018","938.08","950.29","950.31","938.08","138.87K","-1.29%"
"10/04/2018","950.31","946.84","950.31","945.88","125.84K","0.37%"
"10/03/2018","946.85","944.17","948.99","943.10","108.09K","0.29%"
"10/02/2018","944.15","946.13","948.84","941.54","145.91K","-0.21%"
"10/01/2018","946.14","949.82","955.33","945.51","167.62K","-0.39%"
"09/28/2018","949.80","946.11","951.68","946.11","159.85K","0.39%"
"09/27/2018","946.15","940.97","948.60","940.97","119.24K","0.55%"
"09/26/2018","940.97","940.55","945.47","936.79","150.53K","0.04%"
"09/25/2018","940.55","939.66","942.95","935.52","140.19K","0.09%"
"09/24/2018","939.67","931.22","940.57","931.22","115.50K","0.91%"
"09/21/2018","931.19","928.81","935.21","925.43","197.57K","0.27%"
"09/20/2018","928.69","920.69","928.83","920.32","118.80K","0.87%"
"09/19/2018","920.69","917.56","926.49","917.56","143.28K","0.34%"
"09/18/2018","917.56","911.09","917.56","904.24","116.17K","0.70%"
"09/17/2018","911.20","916.15","917.30","909.17","94.20K","-0.54%"
"09/14/2018","916.15","913.62","920.21","913.62","105.92K","0.27%"
"09/13/2018","913.64","914.20","918.56","911.74","99.91K","-0.06%"
"09/12/2018","914.23","914.21","921.95","914.21","121.28K","-0.02%"
"09/11/2018","914.43","899.59","914.61","897.08","104.30K","1.68%"
"09/10/2018","899.33","901.06","902.96","898.15","98.59K","-0.19%"
"09/07/2018","901.08","889.89","901.08","888.73","107.07K","1.26%"
"09/06/2018","889.86","898.34","901.12","889.35","99.11K","-0.94%"
"09/05/2018","898.34","907.77","909.12","895.89","115.35K","-1.04%"
"09/04/2018","907.77","923.27","924.83","907.77","124.59K","-1.68%"
"08/31/2018","923.27","928.50","931.66","923.27","120.23K","-0.56%"
"08/30/2018","928.50","919.63","928.50","915.83","115.17K","0.96%"
"08/29/2018","919.63","924.25","924.94","918.50","105.27K","-0.49%"
"08/28/2018","924.15","920.23","925.14","919.81","118.25K","0.43%"
"08/27/2018","920.21","916.11","923.50","916.11","133.08K","0.45%"
"08/24/2018","916.10","916.60","918.23","911.49","113.52K","-0.05%"
"08/23/2018","916.59","914.70","918.33","913.19","102.14K","0.20%"
"08/22/2018","914.72","911.29","918.50","911.29","128.87K","0.37%"
"08/21/2018","911.31","901.50","911.31","901.19","127.52K","1.08%"
"08/20/2018","901.57","902.43","906.22","898.34","121.71K","-0.10%"
"08/17/2018","902.43","903.30","911.08","902.43","88.77K","-0.10%"
"08/16/2018","903.29","901.65","903.29","887.73","119.93K","0.18%"
"08/15/2018","901.71","917.30","920.67","901.47","130.93K","-1.70%"
"08/14/2018","917.31","912.55","920.06","912.14","111.40K","0.52%"
"08/13/2018","912.53","901.77","912.53","897.46","136.71K","1.03%"
